동별(2),2020 1/4,2021 1/4,2022 1/4
소계,10013781,9828094,9732617
종로구,161984,156567,153684
중구,136469,133708,131450
용산구,246165,243336,236518
성동구,307193,298421,291609
광진구,365990,356191,353110
동대문구,362793,352570,352592
중랑구,400678,396807,393600
성북구,454532,444295,442680
강북구,316750,307537,300824
도봉구,333495,323752,318100
노원구,535495,522225,514445
은평구,482509,479607,476013
서대문구,325875,318814,317075
마포구,386086,378216,378629
양천구,460532,456019,449378
강서구,595703,582804,578426
구로구,438308,426675,419984
금천구,251370,244564,244901
영등포구,404766,403070,400241
동작구,407802,398205,394649
관악구,516662,504140,500336
서초구,434801,425103,413677
강남구,549898,539538,537338
송파구,680883,667115,668261
강동구,457042,468815,465097